clinical_question,bottom_line,link_name,,
Among patients with high-risk smoldering myeloma does early treatment with lenalidomide plus dexamethasone improve progression-free survival compared to observation?,"Multiple myeloma is a plasma-cell malignancy that leads to characteristic features of hypercalcemia renal dysfunction anemia and lytic bone disease. Observational studies revealed that nearly all patients diagnosed with myeloma have a prephase of disease starting with monoclonal gammopathy of undetermined significance (MGUS) and progressing to asymptomatic (""smoldering"") multiple myeloma over a period of years. Efforts to delay symptomatic progression and death have focused on early initiation of therapy for patients with these precursor conditions. A logical group of patients to focus on has been patients with patients with smoldering myeloma who are estimated to have a high risk of progression to symptomatic myeloma based on biomarkers.",/wiki/LenDex_in_High-Risk_Smoldering_Myeloma,,
Among patients with lumbar spinal stenosis and associated pain does an epidural injection of a glucocorticoid plus lidocaine reduce disability and leg pain at six weeks when compared to an injection of lidocaine alone?,"Epidural administration of glucocorticoids is widely used for symptomatic relief in patients with spinal stenosis though the therapy has not been evaluated in a large randomized trial. A 2013 Cochrane review classified the existing evidence for epidural injections in this disease as ""very low quality"" and identified an urgent need for clinical trials.[1]",/wiki/LESS,,
In surgical ICU patients how does intensive compare to conventional glycemic control in reducing mortality?,The single center Leuven Surgical Trial in 2001 so named because it took place in the Belgian city and involved predominantly surgical patients randomized 1548 surgical ICU patients to intensive glycemic control (goal glucose 80-110 mg/dL) vs. conventional glycemic control (180-200 mg/dL).  This trial demonstrated a significantly lower ICU mortality in the intensive glycemic control arm particularly among patients who were in the ICU for 5 days or longer.  This mortality benefit was not replicated in the same Leuven center in medical ICU patients in the 2006 Leuven Medical Trial.,/wiki/Leuven_Surgical_Trial,,
Among patients with low/intermediate-risk acute promyelocytic leukemia how does combination ATRA plus arsenic trioxide compare to conventional therapy with ATRA plus chemotherapy?,Acute promyelocytic leukemia (APL) accounts for about 10% of acute myeloid leukemia (AML) cases and is associated with severe DIC and early death. Traditionally it had been treated with chemotherapy similar to other cases of AML. Advances in the molecular understanding of APL identified the t(15;17) translocation as the sine qua non of APL. This translocation results in the PML-RARA fusion product leading to the arrest of myeloid differentiation and the clinical phenotype of APL. In the 1980s studies demonstrated that all-trans retinoic acid (ATRA) could reverse this maturation block and clinical investigations demonstrated that single-agent ATRA was associated with hematologic complete responses (CR) in 85% of patients with APL. The finding that arsenic trioxide (ATO) induces apoptosis in APL blasts prompted the development of chemotherapy-free regimens including ATRA-ATO which delivered CR in >90% of patients in initial studies. Additionally it was hypothesized that ATRA-ATO may be associated with less treatment-related toxicity. This landmark study was carried out to compare ATRA-ATO and ATRA-chemotherapy and determine whether patients with APL could be cured without chemotherapy.,/wiki/Lo-Coco_2013,,
In patients with clinically stable coronary disease does taking colchicine 0.5 mg/day as compared to no colchicine reduce the risk of cardiovascular events? ,A retrospective study published in 2012 demonstrated a lower incidence of MI in patients with gout on colchicine[1] although a randomized prospective trial was lacking.,/wiki/LoDoCo,,
In patients with chronic coronary disease does colchicine improve cardiovascular outcomes?,'The anti-inflammatory medication Colchicine was postulated to have cardioprotective effects after a retrospective analysis found that patients with gout treated with colchicine had a lower rate of myocardial infarction.[1]  Prior studies had demonstrated that inflammation increased patient''s risk of cardiovascular events and the 2019 CANTOS study found improved cardiovascular outcomes with the immunosuppressant  canakinumab. The 2013 Low-Dose Colchicine (LoDoCo) trial randomized patients with stable CAD to colchicine or usual care with improved cardiovascular outcomes particularly ACS. The trial was open label and criticized for its lack of placebo control and blinding to treatment group. Additionally patients were added to the treatment group to replace patients that dropped out of the trial. More recently interest in colchicine''s cardioprotective effects have garnered renewed interest after the 2019 Colchicine Cardiovascular Outcomes Trial (COLCOT) in patients with recent myocardial infarction randomized patients to colchicine vs placebo and found a reduced risk of cardiovascular outcomes.',/wiki/LoDoCo2,,
Among overweight or obese patients with T2DM does moderate weight loss and increased exercise reduce CVD and its complications?,T2DM confers increased risk for development of CVD. Despite the level A recommendation for weight loss in overweight or obese diabetics from the ADA[1] the role of weight loss in long-term reduction of CVD risk in diabetics is unknown. ,/wiki/Look_AHEAD,,
Among patients with HF with LVEF ≤30% and QRS duration ≥130 msec does placement of an ICD with cardiac resynchronization therapy reduce mortality or HF events when compared to ICD placement alone?,The benefit of cardiac resynchronization therapy (CRT) for patients with LVEF ≤35% cardiac dyssynchrony and NYHA class III or IV symptoms was demonstrated by the 2002 MIRACLE and 2005 CARE-HF trials.The role of ICD plus CRT for patients with milder symptoms was less well established.,/wiki/MADIT-CRT,,
In patients with ischemic cardiomyopathy does prophylactic ICD placement improve survival?,The Multicenter Automatic Defibrillator Implantation Trial II (MADIT-II) randomized 1232 post-MI patients with systolic dysfunction (LVEF ≤30%) to prophylactic ICD or conventional medical therapy. Unlike the earlier MADIT-I (1996) and MUSTT (1999) trials MADIT-II did not require electrophysiologic testing for inducible VT prior to enrollment. After a mean follow-up of 20 months the trial was terminated early because prophylactic ICD reduced all-cause mortality (14.2% vs. 19.8%; P=0.016; NNT=18). A post-hoc analysis demonstrated that the mortality reduction appeared to be entirely attributed to a reduction in SCD (3.8% vs. 10.0%; P<0.01)[1].  The reason is not entirely clear but ICD placement was also associated with a higher rate of heart failure (20% vs. 15%).,/wiki/MADIT-II,,
In patients admitted to the hospital with an acute medical illness is short-course rivaroxaban non-inferior to short-course enoxaparin in preventing VTE or its complications without increasing bleeding? Also is extended-course rivaroxaban superior to short-course enoxaparin in preventing VTE or its complications without increasing bleeding?,Guidelines recommend LMWH unfractionated heparin or fondaparinux for the prevention of VTE in hospitalized non-surgical patients at increased risk for clot development.[1] The role of rivaroxaban a direct factor Xa inhibitor is unknown in prevention of VTE and its complications in this population. RECORD1[2] and RECORD3[3] (both published 2008) demonstrated efficacy of short-course rivaroxaban over short-course enoxaparin in prevention of VTE after hip and knee replacements respectively. These interventions were not associated with increased rates of bleeding. Interestingly RECORD2[4] (2008) demonstrated that extended-course rivaroxaban was more effective in preventing VTE than short-course enoxaparin without increasing bleeding rates following hip replacement. The efficacy and safety of rivaroxaban as a VTE prophylactic in acute illness was unknown.,/wiki/MAGELLAN,,
